"","Factor1"
"CMAT_Addition_Raw",0.783
"CMAT_Subtraction_Raw",0.846
"CMAT_Multiplication_Raw",0.823
"KeyMath_Numeration_Raw",0.869
"KeyMath_ProblemSolving_Raw",0.737
"TOMA0x2D2_Attitudes_Raw",0.335
