"","factor1","factor2"
"1",6.15787427692174,9.64523390751955
"2",15.6443749380093,3.77309037566043
"3",11.7378248957851,10.4796252984251
"4",15.3816159847104,9.74614028086882
"5",17.7833115325261,10.6158025797722
"6",12.5421348074047,10.8628973119555
"7",14.2962072133537,5.28912461338017
"8",8.15600103518792,-0.134449098875008
"9",-5.95800612597803,-4.29843281195111
"10",4.59283327346507,6.11048349320118
"11",5.02968770712566,7.05897170667445
"12",1.59884989132259,9.46384860944122
"13",17.802737425294,13.9324359736129
"14",8.1960292563901,13.0557855175038
"15",7.33584996141309,-4.67534857885211
"16",13.3452400900128,5.38648168157278
"17",6.55880679353337,7.39495527179217
"18",17.1398509493717,8.98183829519217
"19",5.45491198074833,8.06544241834253
"20",17.2558906227425,15.9974398370068
"21",-10.5695149440059,-1.19740278490652
"22",-5.43690154079857,-11.1750402669109
"23",7.67265735577988,4.90199913858971
"24",13.5937738593752,3.97435661494166
"25",13.8779078734593,11.5555187977964
"26",14.2766440861348,10.8708365254352
"27",9.88270959641048,9.25794458413617
"28",0.942867458530834,2.41202527919862
"29",5.07052006756593,3.93972780449634
"30",-11.5573740654776,-22.0763300339087
"31",-3.22937898328061,5.36375291678388
"32",7.30694882361397,3.58602586666352
"33",4.29783336541181,0.568047203994182
"34",12.8230523057951,14.7841473578499
"35",5.93035852530463,-5.69197087270144
"36",12.9655317345782,4.8353495339538
"37",16.9024644254612,13.7201316691734
"38",18.3663260835797,14.3930286046303
"39",15.3625280787179,9.6178976600252
"40",-5.70460894902733,-5.80716401384822
"41",-14.1133590038479,-14.7791215667795
"42",2.51445270363269,-1.05701373331199
"43",-2.5995194449181,-3.28680823821632
"44",-9.54750568917838,-3.77069991481047
"45",-2.74784722547792,-7.36829698007712
"46",-1.10192620861479,-2.42198647520389
"47",14.2233615743753,5.46928623654684
"48",0.706672392248603,0.325552134881846
"49",11.665513411687,1.30171366122678
"50",12.7947050594105,-4.23720912229448
"51",9.37702356493698,6.53745002423992
"52",13.6753787757117,7.06438731663089
"53",-1.40818337630861,5.59297003356939
"54",-10.1243017665618,-5.44200309277117
"55",-10.9574838037605,-13.5358996738538
"56",-0.245092259912662,6.01168411150545
"57",-9.37565670700738,2.83202709476713
"58",-3.32610156180351,2.8648507154536
"59",5.45959591410885,5.6993282035349
"60",-0.329380517923399,5.18055665751213
"61",-5.33449171862211,-4.1509628051959
"62",-15.3215318986929,-14.4555858349263
"63",-12.8672848059421,-10.2043130199219
"64",-8.89020697890578,-1.21549928109064
"65",-8.21598701874569,-5.47008191460065
"66",-12.8848264159801,-9.22208539331638
"67",-8.52811784492248,-8.81390021227883
"68",-5.16009830959152,-10.853169520094
"69",-9.60054510710727,1.69133227991149
"70",-4.8487460861358,-2.53539042592491
"71",-10.5442856162604,-5.25404243101354
"72",-13.0289632762095,-7.80387374785587
"73",-2.74597988942261,3.18086712493209
"74",-5.28016031777151,-8.67507341934579
"75",-4.39269855842957,-1.10181868963499
"76",8.94169508413474,9.62749838382373
"77",-15.0533717750727,-2.12626179043603
"78",-3.86805395167649,-1.47448415873131
"79",-2.36237756232643,-6.69764500534751
"80",-11.1840919214485,-7.30163154134046
"81",-13.8215918765269,-10.8298500184555
"82",-3.54018043759567,0.495249277357126
"83",-10.4744991253868,-1.5734814729565
"84",-6.21461882862207,-8.24521887168883
"85",-9.5111816664846,-3.71688557231281
"86",-13.8714287822926,-8.59892025970337
"87",-18.878297253383,-13.9793247241643
"88",-4.44816151468628,-7.20704976110389
"89",-5.16559009727868,-11.2732904311063
"90",-15.2288036428075,-9.75430899127774
"91",-13.8392502818411,-0.240475671377814
"92",-13.3973237559006,-9.67029533598089
"93",-7.37885548739414,-7.7449809036705
"94",-0.356737146741596,-4.84698560170705
"95",-15.7802361539983,-7.10644695896359
"96",-13.4231087421989,-9.73477756371383
"97",-3.436159548852,0.523893465496963
"98",-0.0177331391425752,-0.444939191414943
"99",-5.20463113336412,-2.9678781726473
"100",-6.63587341004496,0.377418368162758
"101",-2.72464088324187,8.4093191103997
"102",12.6568721573125,0.397803156455976
"103",2.53711867021762,-0.527015049752925
"104",-6.58410502681969,-5.43573737006011
"105",7.94870047788581,-0.455072345995434
"106",9.46463370051755,6.66715389517467
"107",-8.44509901543687,-0.490234403967437
"108",-3.37074316984268,-5.69332795751117
"109",-5.89454899033343,-0.210697703207909
"110",-1.1605194238536,-0.832537198105365
