"","factor1","factor2","factor3"
"1",5.57195645920799,10.9291649649675,-11.5786316681732
"2",16.3426732103193,3.34166931962044,2.79772449093617
"3",12.0524978121989,10.1735004757782,5.95279424938853
"4",15.2796123921352,11.1794483002564,-11.8938889429996
"5",19.9081296277515,9.20125769167244,9.39911955653507
"6",11.4215613271092,11.776273395574,5.43197819832677
"7",14.7423492620457,6.05958298487818,-3.35952739171309
"8",9.05543461306469,2.22889073095513,-33.1348819136874
"9",-6.06737908583228,-4.7155291808815,4.53351051434508
"10",4.30265979529379,5.96451204972932,5.65975877938913
"11",6.07459637976802,7.26216781621856,-11.3439905799624
"12",0.335690319796521,9.06515983189358,15.4366533129517
"13",18.207103888067,12.5276177830433,8.67722316799061
"14",5.87836930505533,13.5632067154696,17.0375818638094
"15",8.47165710623308,-3.72337785908101,-23.4741948880722
"16",13.5069136460267,5.07159515624198,2.3657885077808
"17",5.55677312838464,7.46917027182742,8.4733201878473
"18",18.2737561372076,8.58415245600252,5.65805376378889
"19",4.72107582439468,7.67114692521963,4.33997004377778
"20",16.187660538195,16.2700857908786,13.6435121726284
"21",-10.7098711689398,-3.24803241177834,14.0708186639155
"22",-4.71742241838881,-12.4446335705418,12.58498423082
"23",7.62728149946983,4.63671608247339,9.27150138396992
"24",14.0168375722659,5.15408794286888,-13.243441210334
"25",13.6213361475454,11.8314229042711,13.5038812722244
"26",14.5158080081564,11.1557743533151,1.42561955111063
"27",7.93656074989052,10.3647580478336,10.4458885392289
"28",0.615166427296205,1.2597175080473,18.9912773982114
"29",5.31812661215772,3.67315222811595,2.16793222004623
"30",-10.1697343618062,-21.3794304549907,-13.1568209259176
"31",-2.88273401115008,2.99871090159759,14.365953771016
"32",8.03658979652072,2.3739565898686,15.0029660126491
"33",4.10847940566487,-1.14990698566558,18.227959305127
"34",12.5839999663842,13.0927720432114,25.4092504254885
"35",6.55776100820408,-5.35397648866562,-3.06567691340628
"36",12.8674685321331,6.20443265547406,-7.90084000563034
"37",17.0576620302089,12.5327376467914,7.49755491465219
"38",17.1823954010885,15.5399690025269,0.965603919674368
"39",14.9837689736027,9.14613515249545,12.3936144555824
"40",-4.92938646241617,-6.44156290317399,1.74114214376017
"41",-13.4191630359145,-14.168231574056,-17.8726185208549
"42",2.46150835552036,-1.90814141455072,11.8791303504325
"43",-1.14567710555733,-2.31864342812065,-21.3245693709884
"44",-9.28180485216162,-3.08500221184095,-15.6756880066345
"45",-1.83032986887396,-7.3656333448337,-5.88254556259416
"46",-1.09326362862501,-3.01101943198483,7.79071587606082
"47",14.648474428435,5.5294954175917,3.44586630266026
"48",0.664335748479489,0.635831700055164,-6.67945235220339
"49",12.0666785400499,2.46264797616058,-15.2252967898203
"50",14.1926748618852,-3.62656020449949,-9.6912123017276
"51",10.075030773622,4.97760041596332,20.5440863737422
"52",13.6101711482688,7.78787692340937,-10.8523407049135
"53",-2.73677694702756,7.26935853368431,-6.25041413646417
"54",-10.6693964699894,-6.53303790033374,16.5353421343716
"55",-10.2650504431985,-12.1082660809331,-25.6150414631489
"56",0.723571119225273,5.67905130987409,1.53693757489494
"57",-11.1836512741102,3.60625688436681,5.85967948705013
"58",-4.08960532691798,3.36853571795102,9.37160233555979
"59",4.93915799339377,6.82277658401228,-11.8331295539046
"60",-2.62115056021638,7.12314076178226,0.750619780852546
"61",-5.71919881472921,-3.29229324194784,-3.42978064018135
"62",-14.9559143156283,-14.8913136093304,-4.20887016922928
"63",-13.3372816754561,-10.5698302129624,8.09050415675461
"64",-8.7795078652657,-1.71586523276538,2.42000056206805
"65",-8.69807592603173,-5.66609992160883,3.99163703674173
"66",-12.0694593340106,-9.55981108082755,-3.98129639961914
"67",-8.72941253152682,-9.52946570980071,4.08492809254367
"68",-4.77416511529043,-11.0677854485066,0.193553766102463
"69",-10.2367441233098,1.69703750111595,1.87385310781923
"70",-5.71467866057363,-2.19325469242335,5.69809221517197
"71",-10.9136640445255,-4.69973400835552,-10.970705373199
"72",-13.4637095097955,-7.27403048939513,-6.00912267892814
"73",-2.96355407628423,3.38545699670862,-3.0950706187597
"74",-4.87954829976116,-8.90717267287235,-1.11991781944544
"75",-6.57730978673124,0.925603861022509,-7.10303875582879
"76",7.64387540867933,10.0985418500703,4.34153242526999
"77",-16.3764446691779,-1.69749974161858,3.07455536541639
"78",-4.16385729639748,-0.514609420036345,-17.1315229707248
"79",-1.15416775700453,-7.18126914263236,-14.8356590990562
"80",-12.2642444550619,-7.18575741570119,4.03052595640101
"81",-12.6203794196233,-11.5403611321602,-2.7261228751388
"82",-4.5145248896792,1.2179698229056,12.1420974481263
"83",-10.6623971438068,-2.49452589495252,6.42954314023016
"84",-6.23238564041833,-7.67297358315913,-7.39274188793403
"85",-9.78628001597725,-4.23943624848637,-2.72349641036173
"86",-13.2474652486718,-7.96955905933731,-16.578093194535
"87",-18.607133549225,-13.9710224851885,-13.584214414872
"88",-3.68892626327929,-7.37499082355271,-5.45110697640262
"89",-4.76249616826558,-10.875508813999,-13.9011811354765
"90",-14.7030571141109,-10.4019489676456,1.39993443133171
"91",-14.9048717735805,-1.64689306544212,9.5206354757804
"92",-13.3386859132119,-8.19687822556615,-12.2750089884559
"93",-7.50204433428396,-7.11158406520519,-8.94052782788276
"94",0.840064560157758,-4.7826887322857,-8.21762306771938
"95",-15.8526487638986,-9.73221276652561,22.2995815829895
"96",-12.7702653383254,-9.07489136404014,-21.5013543376881
"97",-3.31797005735017,1.60385642164112,-3.23310688676071
"98",0.962960662823915,-1.82587473577858,2.78020211152544
