"","Factor1","Factor2"
"CMAT_Addition_Raw",0.989,-0.145
"CMAT_Subtraction_Raw",0.75,0.144
"CMAT_Multiplication_Raw",0.565,0.282
"KeyMath_Numeration_Raw",-0.013,0.998
"KeyMath_ProblemSolving_Raw",0.045,0.731
"TOMA0x2D2_Attitudes_Raw",0.303,0.05
