"","Factor1","Factor2","Factor3"
"CMAT_Addition_Raw",-0.124,0.795,0.27
"CMAT_Subtraction_Raw",0.138,0.444,0.453
"CMAT_Multiplication_Raw",0.291,0.42,0.236
"KeyMath_Numeration_Raw",0.9,-0.137,0.339
"KeyMath_ProblemSolving_Raw",0.74,0.096,0.006
"TOMA0x2D2_Attitudes_Raw",0.047,0.068,0.316
