"","factor1","factor2","factor3","factor4","factor5","factor6"
"1",0.566778330904259,0.39142161373739,1.04340152838598,0.208379086105578,-0.178255607390961,-0.834645048019918
"2",0.142878092191127,1.01527355968219,1.04342801756344,0.5629030557786,1.74222167746583,0.243120813457194
"3",0.586549621966492,0.666526824412586,1.09391682000397,0.471918232763491,0.460162858129893,0.390787929767469
"4",0.637606206090836,1.47245654255705,0.78786802417026,0.589401146504865,1.03465644237874,-0.758769402900902
"5",0.514509636533555,0.76335656531857,0.806404668532328,0.727833779331724,2.30954760774344,0.763349010933898
"6",0.68254903409723,1.26377292075838,0.868391447586984,0.45747774885465,0.514102163878004,0.370244214237032
"7",0.357442275193042,1.2944550433169,0.917408634472114,0.521621613455062,1.05476585470822,-0.23533782978004
"8",0.159977834086972,0.730541339257707,1.35926798882075,0.253193673672329,0.334430110728038,-2.35049391708336
"9",-0.181637792756216,-0.748364296553272,-0.380159028236548,-0.23139017938819,-0.231852409303438,0.295950263690538
"10",0.332094263841022,0.30555227578691,0.17634731526719,0.17720076297938,0.954568254400033,0.418249576435341
"11",0.408347861206115,-0.264555719731201,0.877714388684783,0.18069155386299,0.223518947769272,-0.784188775855495
"12",0.563679497573003,0.412387282191604,-0.146742204012998,0.0347681372535901,0.0550931372222891,1.05353267726786
"13",0.725036309794001,0.734185562338064,1.28008791110722,0.646365801709093,2.04449400075536,0.67569741196681
"14",0.781982160502154,0.92738655033507,0.744246246339954,0.310526570958221,-0.259250576506727,1.11855090892255
"15",-0.269385616475754,0.180761950347199,0.861313952892144,0.268422904453515,0.726039650389464,-1.59487622610179
"16",0.337558748652434,0.679596688984123,0.825971767070403,0.516972595061431,1.54011742889967,0.204899517911594
"17",0.426911314134307,0.380883214399154,0.226916198012834,0.255802289649976,0.543811838208863,0.618854630713185
"18",0.469997891643365,0.428010733669646,0.956888902688962,0.74438552000956,1.88896578320673,0.509831820086486
"19",0.479425383460909,0.652853816587871,0.404935067441862,0.184205661177999,0.518688827754257,0.288696580838627
"20",0.930055162649483,1.73004234163831,1.53655592524513,0.560593074263186,1.6358959985485,0.873587972388008
"21",-0.126564080696825,-1.08677303637667,-1.00803767012967,-0.410527494194466,-0.0776412246135831,0.998647445309832
"22",-0.730134182462097,-0.719057522887802,-0.291212981455281,-0.233775133242231,0.0344532703733117,0.816374710634812
"23",0.256221033258972,0.800353546926804,0.57509465598408,0.257185656301927,0.714762096142893,0.609633525164055
"24",0.308423496628153,1.07911220365625,1.0244506857908,0.513932209945882,1.26851320872432,-0.896950207350469
"25",0.589090299915345,1.08242300703927,0.633416232699551,0.556334662126362,1.35283180039443,0.998204788641573
"26",0.607295192517047,1.11782900962671,0.694277667683469,0.546657561877392,1.65168143881196,0.163425662727968
"27",0.515847185631419,1.72713307751676,-0.0501633505332646,0.36011046664602,0.771325543193375,0.771155764358729
"28",0.104625986653917,-0.152568434376291,-0.367946144800771,0.0549434004061861,0.627398175199046,1.3563667708744
"29",0.201761964718673,0.0679721508633288,-0.0624949465992266,0.233615853814784,0.789391102620379,0.232193653634008
